signal_type,id_cliente,familia,month,prediccion,urgency,signal,categoria,signal_date,restock_date,metadata
type_1_model_prediction,25121,Familia C1,2026-01,1.6216418743133545,,Esta semana el cliente 25121 podria comprar 2 unidades de Familia C1.,,,,
type_1_model_prediction,25187,Familia C1,2026-01,1.0622596740722656,,Esta semana el cliente 25187 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,25311,Familia C1,2026-01,1.2884105443954468,,Esta semana el cliente 25311 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,25397,Familia C1,2026-01,1.1119087934494019,,Esta semana el cliente 25397 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,25446,Familia C1,2026-01,1.085069179534912,,Esta semana el cliente 25446 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,25845,Familia C1,2026-01,1.0616627931594849,,Esta semana el cliente 25845 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,25904,Familia C1,2026-01,1.2846782207489014,,Esta semana el cliente 25904 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,25909,Familia C1,2026-01,1.302070140838623,,Esta semana el cliente 25909 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,25972,Familia C1,2026-01,1.190129041671753,,Esta semana el cliente 25972 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,26062,Familia C1,2026-01,1.1795828342437744,,Esta semana el cliente 26062 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,26122,Familia C1,2026-01,1.270359754562378,,Esta semana el cliente 26122 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,26137,Familia C1,2026-01,1.358081340789795,,Esta semana el cliente 26137 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,26192,Familia C1,2026-01,1.1609666347503662,,Esta semana el cliente 26192 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,26206,Familia C1,2026-01,1.3108360767364502,,Esta semana el cliente 26206 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,26468,Familia C1,2026-01,1.1027823686599731,,Esta semana el cliente 26468 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,26606,Familia C1,2026-01,1.4687118530273438,,Esta semana el cliente 26606 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,26614,Familia C1,2026-01,1.0153610706329346,,Esta semana el cliente 26614 podria comprar 1 unidades de Familia C1.,,,,
